Numero de Pontos;Tamanho Maximo ;Tempo Medio (nano) ;Tempo Medio (seg) ;          
10;10;9091010.0;0.00909101;          
Numero de Pontos;Tamanho Maximo ;Tempo Medio (nano) ;Tempo Medio (seg) ;         
20;20;3.040619E7;0.03040619;         
Numero de Pontos;Tamanho Maximo ;Tempo Medio (nano) ;Tempo Medio (seg) ;        
30;30;2.96977E7;0.0296977;        
Numero de Pontos;Tamanho Maximo ;Tempo Medio (nano) ;Tempo Medio (seg) ;       
40;40;1.2457662E8;0.12457662;       
Numero de Pontos;Tamanho Maximo ;Tempo Medio (nano) ;Tempo Medio (seg) ;      
50;50;4.916647E7;0.04916647;      
Numero de Pontos;Tamanho Maximo ;Tempo Medio (nano) ;Tempo Medio (seg) ;     
100;100;1.1822455E8;0.11822455;     
Numero de Pontos;Tamanho Maximo ;Tempo Medio (nano) ;Tempo Medio (seg) ;    
200;200;4.2650131E8;0.42650131;    
Numero de Pontos;Tamanho Maximo ;Tempo Medio (nano) ;Tempo Medio (seg) ;   
500;500;2.51369325E9;2.51369325;   
Numero de Pontos;Tamanho Maximo ;Tempo Medio (nano) ;Tempo Medio (seg) ;  
1000;1000;1.130772581E10;11.30772581;  
Numero de Pontos;Tamanho Maximo ;Tempo Medio (nano) ;Tempo Medio (seg) ; 
5000;5000;5.8119450998E11;581.19450998; 
